strategy,horizon,vol_window,target_vol,max_leverage,annual_return,annual_vol,sharpe,max_drawdown,n_trades,total_cost,time_in_market,avg_abs_exposure
momentum_classic,10,,,,0.07313941085010045,0.10468231983041083,0.726775506761663,-0.16907735084575579,304,0.15200000000000002,0.6495624502784407,0.6495624502784407
momentum_classic,20,,,,0.08543158944753393,0.10532770365579919,0.8312146330486053,-0.14199200172698265,210,0.10500000000000001,0.6837708830548926,0.6837708830548926
momentum_classic,50,,,,0.06905443523171373,0.11127361201557769,0.6560453821850978,-0.21637849427287284,115,0.05750000000000001,0.7450278440731901,0.7450278440731901
momentum_vol_target,10,20.0,0.1,1.0,0.05695922878077786,0.0655280884061232,0.8782645877671211,-0.15523873512694686,1208,0.12161324655525049,0.6495624502784407,0.5168523548177956
momentum_vol_target,10,20.0,0.1,1.5,0.06943842249286769,0.07188257891312647,0.9700125442971884,-0.17054592780167824,1624,0.14698574985551682,0.6495624502784407,0.595368486113749
momentum_vol_target,10,20.0,0.1,2.0,0.0713747006545209,0.07305434476375464,0.9803801679128906,-0.172180624035472,1749,0.1561445399344915,0.6495624502784407,0.6148427506252063
momentum_vol_target,10,20.0,0.15,1.0,0.06697740945416064,0.08071064442777773,0.8437428678785767,-0.1583456715746208,719,0.13750691762998266,0.6495624502784407,0.593890080409449
momentum_vol_target,10,20.0,0.15,1.5,0.0848865135147634,0.0982921326091848,0.8782645877671214,-0.2253764130974078,1208,0.18241986983287573,0.6495624502784407,0.7752785322266933
momentum_vol_target,10,20.0,0.15,2.0,0.09879619488801983,0.10585705044259307,0.9431718702412347,-0.24462629199513233,1501,0.21100934132551669,0.6495624502784407,0.868223962108623
momentum_vol_target,10,20.0,0.2,1.0,0.07307589791511071,0.09019299750085401,0.8272452301494259,-0.16206682649161153,510,0.14462110450976545,0.6495624502784407,0.6252766177836877
momentum_vol_target,10,20.0,0.2,1.5,0.09606155781671788,0.11487556420199808,0.8561489456162712,-0.23294270215234103,847,0.1997669702549703,0.6495624502784407,0.8646635364858422
momentum_vol_target,10,20.0,0.2,2.0,0.11234767854507388,0.1310561768122464,0.8782645877671211,-0.2907992995917586,1208,0.24322649311050099,0.6495624502784407,1.0337047096355911
momentum_vol_target,10,60.0,0.1,1.0,0.045172539927789135,0.0620912655086447,0.7427057452124801,-0.1319514942558824,1368,0.10990578301761514,0.6495624502784407,0.474044048364641
momentum_vol_target,10,60.0,0.1,1.5,0.051335838277472234,0.06612746374773705,0.7902147505406726,-0.1344872187885636,1687,0.12109839428193306,0.6495624502784407,0.520363906119029
momentum_vol_target,10,60.0,0.1,2.0,0.052684578195134835,0.06668624733677973,0.803374402852224,-0.1344872187885636,1744,0.12296314866260101,0.6495624502784407,0.525952232995294
momentum_vol_target,10,60.0,0.15,1.0,0.05584137731482519,0.0790777446844132,0.7268147182289801,-0.14026581521579518,854,0.13272526000569046,0.6495624502784407,0.5709249244616658
momentum_vol_target,10,60.0,0.15,1.5,0.06696681303027474,0.09313689826296706,0.74270574521248,-0.19272638928677466,1368,0.16485867452642272,0.6495624502784407,0.7110660725469613
momentum_vol_target,10,60.0,0.15,2.0,0.0729363243382759,0.09794721299755615,0.7679068450107469,-0.19628308141762235,1563,0.17785245312198644,0.6495624502784407,0.766345114261603
momentum_vol_target,10,60.0,0.2,1.0,0.06380028890277645,0.0885182778080831,0.7431180892493827,-0.1392398928290941,588,0.13997359462766984,0.6495624502784407,0.6081294696781628
momentum_vol_target,10,60.0,0.2,1.5,0.07867396253762693,0.11175637174351018,0.733764721161275,-0.20031436353049312,962,0.19088621064902894,0.6495624502784407,0.822455687774908
momentum_vol_target,10,60.0,0.2,2.0,0.0881578110342569,0.1241825310172894,0.7427057452124801,-0.25016827809132475,1368,0.21981156603523028,0.6495624502784407,0.948088096729282
momentum_vol_target,10,120.0,0.1,1.0,0.04583835192578678,0.05996902740062403,0.7774394588432358,-0.09920815973970748,1488,0.10298516955986256,0.6495624502784407,0.44124126612810005
momentum_vol_target,10,120.0,0.1,1.5,0.04985830801338165,0.06277970976667048,0.8065058090002792,-0.09920815973970779,1674,0.10982650328120597,0.6495624502784407,0.4732812867224711
momentum_vol_target,10,120.0,0.1,2.0,0.050069270357632645,0.06284126173521318,0.8089749165929114,-0.09920815973970781,1708,0.11004359482759396,0.6495624502784407,0.47397809227807264
momentum_vol_target,10,120.0,0.15,1.0,0.06070702937198025,0.07881954746588207,0.7872684363577434,-0.12777152204680403,877,0.1276416765691164,0.6495624502784407,0.5549505378257911
momentum_vol_target,10,120.0,0.15,1.5,0.06809158809863347,0.08995354110093604,0.777439458843236,-0.14610695370279045,1488,0.1544777543397938,0.6495624502784407,0.6618618991921501
momentum_vol_target,10,120.0,0.15,2.0,0.07199879913145812,0.09329973586556628,0.7920071735843547,-0.14610695370279117,1566,0.16273503271805378,0.6495624502784407,0.700312097985943
momentum_vol_target,10,120.0,0.2,1.0,0.06895669087557699,0.08800175768542333,0.8018851300705383,-0.13544218094536903,516,0.135622777019312,0.6495624502784407,0.592960483690755
momentum_vol_target,10,120.0,0.2,1.5,0.08392305532213484,0.11142540595447041,0.7791612323073566,-0.17832510134227375,1052,0.1838186733200431,0.6495624502784407,0.7966709406695779
momentum_vol_target,10,120.0,0.2,2.0,0.08983131493819285,0.11993805480124806,0.7774394588432358,-0.19123206172260415,1488,0.20597033911972512,0.6495624502784407,0.8824825322562001
momentum_vol_target,20,20.0,0.1,1.0,0.0700934705759435,0.07304657964773727,0.9641225472422384,-0.11948268162724657,1134,0.08707771797296038,0.6837708830548926,0.5669331155181234
momentum_vol_target,20,20.0,0.1,1.5,0.08835852746923845,0.07988480541632084,1.1000515301862628,-0.1262684033488799,1638,0.10529258328041377,0.6837708830548926,0.654746990727945
momentum_vol_target,20,20.0,0.1,2.0,0.09175593955341865,0.08117073479464923,1.1223064205873041,-0.1262684033488799,1791,0.11265986233085942,0.6837708830548926,0.6765314932313047
momentum_vol_target,20,20.0,0.15,1.0,0.07703678076268972,0.08901515190040145,0.878434234829596,-0.12697967593803347,597,0.09938413386290694,0.6837708830548926,0.6427365298325453
momentum_vol_target,20,20.0,0.15,1.5,0.10473472175219789,0.10956986947160591,0.9641225472422383,-0.17437507096619195,1134,0.13061657695944057,0.6837708830548926,0.850399673277185
