ticker,asset_class,status,n_rows,start,end,long_total_return,long_sharpe,long_max_dd,mom_total_return,mom_sharpe,mom_max_dd,mr_price_total_return,mr_price_sharpe,mr_price_max_dd,mr_return_total_return,mr_return_sharpe,mr_return_max_dd
SPY,SP500 ETF,ok,2514.0,2015-01-05,2024-12-30,2.4708171291294367,0.7861113722088272,-0.3371726908168128,1.51627549406507,0.9310564048142591,-0.1333628130815126,0.49448510941033685,0.6503438769303511,-0.08187509365998531,0.4592145095616387,0.6237770124667809,-0.10769765572911538
AAPL,Equity,ok,2514.0,2015-01-05,2024-12-30,9.65876733537528,0.9659027417285995,-0.3851592067003271,6.341922953002683,1.164804534781488,-0.2542233548892417,0.06073024732609489,0.10803467145751047,-0.2478347918703618,0.22250327619139232,0.2895148425749651,-0.23765415559663078
GOOGL,Equity,ok,2514.0,2015-01-05,2024-12-30,6.389721783580996,0.8395874524822003,-0.44320061499147023,1.1205639446137332,0.4648731043826333,-0.4093345776710275,0.6305100392817158,0.4976658962212626,-0.21373096116358914,-0.20567533413964068,-0.26909064127340077,-0.25161812764725594
EURUSD=X,Forex,ok,2604.0,2015-01-02,2024-12-30,-0.13731318411229032,-0.1425133375945057,-0.23291887408570588,-0.1142694606871939,-0.19229071608831597,-0.22430424234013932,0.013369023288447357,0.060719392712448146,-0.0530404815485685,0.045288727203429024,0.24695772139290884,-0.030792697850483983
GC=F,Commodity (Gold),ok,2511.0,2015-01-05,2024-12-30,1.1647147145169034,0.6115426366179645,-0.20872529913324966,-0.11034496930695603,-0.047389462879302194,-0.2724856151481951,-0.1700532840289828,-0.36212257491972477,-0.2086462346669052,-0.055898127451640356,-0.1610202149310345,-0.11258512624153912
CL=F,Commodity (Oil),empty,,,,,,,,,,,,,,,
BTC-USD,Crypto,ok,3651.0,2015-01-02,2024-12-30,293.07554512662347,0.972333288732272,-0.8339900882218957,677.8841520732828,1.3101819772480041,-0.5140961064564691,-0.8690378394406443,-0.4323697094807933,-0.8951700223750428,0.2786154560988525,0.1864131838762206,-0.36245902072555536
ETH-USD,Crypto,empty,,,,,,,,,,,,,,,
